cm-1,n
2280.4051865234374,1.3331
2288.1190546875,1.3336
2295.832922851562,1.3341
2303.546791015625,1.3347
2311.2606591796875,1.3352
2318.9745273437497,1.3358
2326.6883955078124,1.3364
2334.402263671875,1.337
2342.1161318359373,1.3376
2349.83,1.3382
2357.548109375,1.3388
2365.261977539062,1.3394
2372.975845703125,1.34
2380.6897138671875,1.3406
2388.4035820312497,1.3412
2396.1174501953124,1.3418
2403.8313183593746,1.3424
2411.545186523437,1.3431
2419.2590546875,1.3437
2426.972922851562,1.3443
2434.6867910156247,1.345
2442.4006591796874,1.3456
2450.1145273437496,1.3463
2457.8283955078123,1.3469
2465.542263671875,1.3476
2473.256131835937,1.3483
2480.97,1.349
2488.6881093750003,1.3497
2496.4019775390625,1.3504
2504.115845703125,1.3511
2511.829713867188,1.3518
2519.54358203125,1.3525
2527.2574501953127,1.3533
2534.971318359375,1.354
2542.6851865234376,1.3548
2550.3990546875,1.3556
2558.1129228515624,1.3564
2565.826791015625,1.3572
2573.5406591796877,1.358
2581.25452734375,1.3588
2588.9683955078126,1.3596
2596.6822636718753,1.3605
2604.3961318359375,1.3614
2612.11,1.3622
2619.818109375,1.3631
2627.531977539062,1.3641
2635.245845703125,1.365
2642.9597138671875,1.366
2650.6735820312497,1.3669
2658.3874501953123,1.3679
2666.101318359375,1.369
2673.815186523437,1.37
2681.5290546875,1.371
2689.242922851562,1.3721
2696.9567910156247,1.3732
2704.6706591796874,1.3743
2712.3845273437496,1.3754
2720.0983955078123,1.3766
2727.812263671875,1.3778
2735.526131835937,1.379
2743.24,1.3802
2750.9581093750003,1.3815
2758.6719775390625,1.3828
2766.385845703125,1.3841
2774.099713867188,1.3854
2781.81358203125,1.3868
2789.5274501953127,1.3881
2797.2413183593753,1.3895
2804.9551865234375,1.391
2812.6690546875,1.3925
2820.3829228515624,1.3941
2828.096791015625,1.3957
2835.8106591796877,1.3973
2843.52452734375,1.3989
2851.2383955078126,1.4006
2858.9522636718752,1.4023
2866.6661318359374,1.4041
2874.38,1.4059
2882.0881093750004,1.4077
2889.8019775390626,1.4096
2897.5158457031253,1.4115
2905.229713867188,1.4136
2912.94358203125,1.4156
2920.657450195313,1.4177
2928.3713183593754,1.4199
2936.0851865234376,1.4221
2943.7990546875003,1.4243
2951.5129228515625,1.4265
2959.226791015625,1.4289
2966.940659179688,1.4311
2974.65452734375,1.4333
2982.3683955078127,1.4361
2990.0822636718754,1.4387
2997.7961318359376,1.4413
3005.51,1.444
3013.2281093750003,1.4467
3020.9419775390625,1.4494
3028.655845703125,1.4521
3036.369713867188,1.4549
3044.08358203125,1.4577
3051.7974501953126,1.4604
3059.511318359375,1.4632
3067.2251865234375,1.466
3074.9390546875,1.4687
3082.6529228515624,1.4714
3090.366791015625,1.474
3098.0806591796877,1.4766
3105.79452734375,1.4791
3113.5083955078126,1.4814
3121.222263671875,1.4836
3128.9361318359374,1.4855
3136.65,1.4873
3144.368109375,1.4887
3152.0819775390623,1.4898
3159.795845703125,1.4906
3167.5097138671877,1.4909
3175.22358203125,1.4907
3182.9374501953125,1.49
3190.651318359375,1.4887
3198.3651865234374,1.4867
3206.0790546875,1.484
3213.7929228515623,1.4807
3221.506791015625,1.4767
3229.2206591796876,1.4723
3236.93452734375,1.4673
3244.6483955078124,1.462
3252.362263671875,1.4565
3260.0761318359373,1.4508
3267.79,1.445
3275.4981093750002,1.4394
3283.2119775390624,1.4338
3290.925845703125,1.428
3298.6397138671878,1.4224
3306.35358203125,1.4167
3314.0674501953126,1.4107
3321.7813183593753,1.4045
3329.4951865234375,1.3979
3337.2090546875,1.3908
3344.9229228515624,1.3831
3352.636791015625,1.3746
3360.3506591796877,1.3652
3368.06452734375,1.3551
3375.7783955078125,1.3442
3383.492263671875,1.3325
3391.2061318359374,1.3201
3398.92,1.3071
3406.638109375,1.2936
3414.3519775390623,1.2802
3422.065845703125,1.2665
3429.7797138671876,1.2531
3437.49358203125,1.2404
3445.2074501953125,1.2279
3452.9213183593747,1.2161
3460.6351865234374,1.2049
3468.3490546875,1.1944
3476.0629228515622,1.1845
3483.776791015625,1.1753
3491.4906591796876,1.1666
3499.2045273437498,1.1586
3506.9183955078124,1.1511
3514.632263671875,1.1443
3522.3461318359373,1.1381
3530.06,1.1326
3537.768109375,1.1279
3545.4819775390624,1.1238
3553.195845703125,1.1206
3560.9097138671877,1.1181
3568.62358203125,1.1162
3576.3374501953126,1.115
3584.051318359375,1.1144
3591.7651865234375,1.1141
3599.4790546875,1.1142
3607.1929228515623,1.1145
3614.906791015625,1.1151
3622.6206591796877,1.1158
3630.33452734375,1.1166
3638.0483955078125,1.1177
3645.762263671875,1.1194
3653.4761318359374,1.1221
3661.19,1.1261
3668.903725097656,1.1317
3672.7606591796875,1.135
3676.617593261719,1.1386
3680.4745273437497,1.1423
3684.331461425781,1.1462
3688.1883955078124,1.1502
3692.0453295898437,1.1541
3695.902263671875,1.158
3699.7591977539064,1.1617
3703.6161318359373,1.1654
3707.4730659179686,1.1689
3711.33,1.1722
3715.1890546875,1.1756
3719.0459887695315,1.1786
3722.9029228515624,1.1814
3726.7598569335937,1.1841
3730.616791015625,1.1866
3734.4737250976564,1.189
3738.3306591796877,1.1913
3742.187593261719,1.1935
3746.04452734375,1.1956
3749.9014614257812,1.1977
3753.7583955078126,1.1996
3757.615329589844,1.2015
3761.472263671875,1.2032
3765.3291977539066,1.205
3769.1861318359374,1.2066
3773.0430659179688,1.2082
3776.9,1.2098
3780.7590546875,1.2113
3784.615988769531,1.2127
3788.472922851562,1.2141
3792.3298569335934,1.2155
3796.1867910156247,1.2168
3800.043725097656,1.2181
3803.9006591796874,1.2194
3807.7575932617187,1.2206
3811.6145273437496,1.2218
3815.471461425781,1.223
3819.3283955078123,1.2241
3823.1853295898436,1.2252
3827.042263671875,1.2263
3830.8991977539063,1.2273
3834.756131835937,1.2284
3838.6130659179685,1.2294
3842.47,1.2303
3846.3252734375,1.2313
3877.1807460937503,1.2382
3908.03621875,1.2441
3938.89169140625,1.2491
3969.7471640625,1.2534
4000.60263671875,1.2571
4031.4581093750003,1.2604
4062.31358203125,1.2635
4093.1690546875,1.2664
4124.02452734375,1.269
4154.88,1.2714
4185.7324375,1.2734
4216.5879101562505,1.2755
4247.4433828125,1.2774
4278.29885546875,1.2792
4309.154328125,1.2809
4340.00980078125,1.2825
4370.8652734375,1.284
4401.72074609375,1.2854
4432.57621875,1.2867
4463.43169140625,1.288
4494.2871640625,1.2892
4525.1426367187505,1.2903
4555.998109375,1.2914
4586.85358203125,1.2924
4617.7090546875,1.2934
4648.56452734375,1.2943
4679.42,1.2952
4710.2824375,1.296
4741.137910156251,1.2968
4771.9933828125,1.2976
4802.84885546875,1.2983
4833.704328125,1.299
4864.5598007812505,1.2997
4895.4152734375,1.3003
4926.27074609375,1.301
4957.126218750001,1.3015
4987.98169140625,1.3021
5018.8371640625,1.3026
5049.69263671875,1.303
5080.548109375,1.3034
5111.40358203125,1.3037
5142.2590546875,1.3038
5173.1145273437505,1.3039
5203.97,1.3039
5234.820373046875,1.3039
5250.248109375,1.3039
5265.675845703125,1.3039
5281.10358203125,1.3041
5296.531318359375,1.3043
5311.9590546875,1.3046
5327.386791015625,1.305
5342.81452734375,1.3053
5358.242263671875,1.3056
5373.67,1.3059
5389.09621875,1.3061
5404.523955078124,1.3064
5419.95169140625,1.3066
5435.379427734375,1.3068
5450.807164062499,1.3071
5466.234900390625,1.3073
5481.662636718749,1.3075
5497.090373046874,1.3077
5512.518109375,1.3078
5527.945845703124,1.308
5543.3735820312495,1.3082
5558.801318359375,1.3084
5574.229054687499,1.3085
5589.656791015625,1.3087
5605.08452734375,1.3089
5620.512263671874,1.309
5635.94,1.3092
5651.3733828125005,1.3093
5682.22885546875,1.3096
5713.084328125,1.3099
