cm-1,k
2912.94358203125,0.01489
2920.657450195313,0.01588
2928.3713183593754,0.01694
2936.0851865234376,0.01816
2943.7990546875003,0.01945
2951.5129228515625,0.02083
2959.226791015625,0.02221
2966.940659179688,0.02388
2974.65452734375,0.02529
2982.3683955078127,0.02678
2990.0822636718754,0.02867
2997.7961318359376,0.03072
3005.51,0.03289
3013.2281093750003,0.0352
3020.9419775390625,0.0377
3028.655845703125,0.0404
3036.369713867188,0.0433
3044.08358203125,0.0463
3051.7974501953126,0.0495
3059.511318359375,0.053
3067.2251865234375,0.0567
3074.9390546875,0.0607
3082.6529228515624,0.0649
3090.366791015625,0.0694
3098.0806591796877,0.0742
3105.79452734375,0.0792
3113.5083955078126,0.0846
3121.222263671875,0.0903
3128.9361318359374,0.0964
3136.65,0.1028
3144.368109375,0.1095
3152.0819775390623,0.1166
3159.795845703125,0.1239
3167.5097138671877,0.1317
3175.22358203125,0.1396
3182.9374501953125,0.1477
3190.651318359375,0.1561
3198.3651865234374,0.1645
3206.0790546875,0.1729
3213.7929228515623,0.181
3221.506791015625,0.189
3229.2206591796876,0.1966
3236.93452734375,0.2038
3244.6483955078124,0.2106
3252.362263671875,0.2168
3260.0761318359373,0.2228
3267.79,0.2283
3275.4981093750002,0.2335
3283.2119775390624,0.2386
3290.925845703125,0.2437
3298.6397138671878,0.2487
3306.35358203125,0.2538
3314.0674501953126,0.2591
3321.7813183593753,0.2645
3329.4951865234375,0.2702
3337.2090546875,0.2758
3344.9229228515624,0.2816
3352.636791015625,0.2872
3360.3506591796877,0.2927
3368.06452734375,0.2978
3375.7783955078125,0.3023
3383.492263671875,0.3063
3391.2061318359374,0.3092
3398.92,0.3111
3406.638109375,0.312
3414.3519775390623,0.3115
3422.065845703125,0.3098
3429.7797138671876,0.3071
3437.49358203125,0.3031
3445.2074501953125,0.2983
3452.9213183593747,0.2925
3460.6351865234374,0.2861
3468.3490546875,0.279
3476.0629228515622,0.2714
3483.776791015625,0.2635
3491.4906591796876,0.2551
3499.2045273437498,0.2463
3506.9183955078124,0.2371
3514.632263671875,0.2277
3522.3461318359373,0.2179
3530.06,0.2079
3537.768109375,0.1977
3545.4819775390624,0.1873
3553.195845703125,0.177
3560.9097138671877,0.1667
3568.62358203125,0.1565
3576.3374501953126,0.1466
3584.051318359375,0.137
3591.7651865234375,0.1277
3599.4790546875,0.1186
3607.1929228515623,0.1098
3614.906791015625,0.1012
3622.6206591796877,0.0926
3630.33452734375,0.0839
3638.0483955078125,0.0749
3645.762263671875,0.0653
3653.4761318359374,0.0555
3661.19,0.0456
3668.903725097656,0.03623
3672.7606591796875,0.03195
3676.617593261719,0.02803
3680.4745273437497,0.0245
3684.331461425781,0.02135
3688.1883955078124,0.01864
3692.0453295898437,0.01627
3695.902263671875,0.01426
3699.7591977539064,0.01253
3703.6161318359373,0.01109
3707.4730659179686,0.00985
3711.33,0.00882
3715.1890546875,0.007946
3719.0459887695315,0.007481
3722.9029228515624,0.007016
3726.7598569335937,0.006551
3730.616791015625,0.006144
3734.4737250976564,0.005797
3738.3306591796877,0.005489
3742.187593261719,0.00522
3746.04452734375,0.004979
3749.9014614257812,0.004768
3753.7583955078126,0.00457
3757.615329589844,0.004397
3761.472263671875,0.004236
3765.3291977539066,0.00409
3769.1861318359374,0.003948
3773.0430659179688,0.003819
3776.9,0.003699
3780.7590546875,0.003589
3784.615988769531,0.003486
3788.472922851562,0.003386
3792.3298569335934,0.003289
3796.1867910156247,0.003205
3800.043725097656,0.003119
3803.9006591796874,0.003039
3807.7575932617187,0.002965
3811.6145273437496,0.002897
3815.471461425781,0.00283
3819.3283955078123,0.002769
3823.1853295898436,0.002709
3827.042263671875,0.002659
3830.8991977539063,0.002605
3834.756131835937,0.002559
3838.6130659179685,0.002515
3842.47,0.002474
3846.3252734375,0.002439
3877.1807460937503,0.00223
3908.03621875,0.00215
3938.89169140625,0.002116
3969.7471640625,0.002053
4000.60263671875,0.001955
4031.4581093750003,0.001776
4062.31358203125,0.001539
4093.1690546875,0.001311
4124.02452734375,0.001149
4154.88,0.001006
